#Position (bp)	insert size
2.1651068255E9	196.20929543612533
2.1733548515E9	194.79317622669313
2.1816028775E9	194.70550118382332
2.1898509035E9	190.97274544385655
2.1980989295E9	195.32653346244086
2.2063469555E9	194.4549227716988
2.2145949815E9	238.99716175442782
2.2228430075E9	209.1793005724195
2.2310910335E9	197.67153694858106
2.2393390595E9	238.99213092093896
2.2475870855E9	195.5988485530021
2.2558351115E9	195.19077886855877
2.263915105E9	195.950917160501
2.26791743E9	182.05454545454546
2.2680854625E9	189.15712074303406
2.2723311635E9	1229.5796427488276
2.2805791895E9	195.16068467560817
2.2888272155E9	1545.0867980688104
2.2970752415E9	1520.4865960585814
2.3053232675E9	1401.4372293307952
2.3135712935E9	809.3075037439899
2.3218193195E9	979.0956441305697
2.3300673455E9	192.14857267378514
2.3383153715E9	194.75065889508363
2.3465633975E9	194.15793404404874
2.3548114235E9	1116.2015740054735
2.3630594495E9	190.9275076923077
2.3713074755E9	194.73589551672146
2.3795555015E9	195.38699890579926
2.3878035275E9	194.79685924218413
2.3960515535E9	196.09238701251365
2.4042995795E9	196.12103716592344
2.4125476055E9	195.71424328169212
2.4207956315E9	196.68590585881526
2.4290436575E9	195.99367010471263
2.435968712E9	194.57293197915274
2.440092725E9	1545.6524435969404
2.4455397095E9	621.1432263724798
2.4537877355E9	194.86077034608837
2.4620357615E9	195.49488953048527
2.4702837875E9	252.94224973974028
2.4785318135E9	978.0112382666838
2.4867798395E9	196.2382700518912
2.4950278655E9	323.0571404008998
2.5032758915E9	1355.7491771962532
2.5115239175E9	572.6566898360007
2.5197719435E9	195.1699874349309
2.5280199695E9	647.92531915245
2.5362679955E9	196.1341584334774
2.5445160215E9	1011.8612309670394
2.5527640475E9	195.62324756817281
2.5610120735E9	195.02167085046264
2.5692600995E9	197.6970982079665
2.5775081255E9	197.13307762319593
2.5857561515E9	196.0544598846783
2.5939979455E9	194.150753405247
2.5981219585E9	0.0
2.6022522035E9	2343.795439818565
2.6105002295E9	193.43040957722582
2.6187482555E9	195.6934284551483
2.6269962815E9	196.50773821047477
2.6352443075E9	924.3827647718124
2.6434923335E9	201.0583532798298
2.6517403595E9	194.5962480427189
2.6599883855E9	969.1025875571706
2.6682364115E9	907.4479087567962
2.6764844375E9	193.74166238082051
2.6847324635E9	193.80721886611227
2.6929804895E9	318.7351797584161
2.7012285155E9	195.93650635788876
2.7094765415E9	193.0683440624956
2.7177245675E9	195.2611672427546
2.7259725935E9	193.61938507257972
2.7342206195E9	194.6758146422115
2.7407994975E9	196.24052784246436
2.7449235105E9	195.77819371108833
2.7507166715E9	833.6169655083876
2.7589646975E9	573.5999363665288
2.7672127235E9	2951.6752263374487
2.7754607495E9	229.0969889779559
2.7837087755E9	2597.9360680070167
2.7919568015E9	169.61342592592592
2.8002048275E9	194.71929824561403
2.8084528535E9	194.2743318945725
2.8167008795E9	195.66232226477538
2.8249489055E9	214.39678162312867
2.8331969315E9	195.44336275556557
2.8414449575E9	196.6470772454476
2.8496929835E9	196.38345693366432
2.8579410095E9	196.2885625123836
2.8661890355E9	196.19788254136637
2.8744370615E9	195.6965804841515
2.880105077E9	193.29118938062476
2.8816691105E9	200.67198177676536
2.8817081685E9	197.3902027027027
2.881815618E9	194.8438940092166
2.8819235655E9	199.5580007459903
2.8821203125E9	192.39197336452804
2.88242567E9	203.10675039246468
2.8826085695E9	190.59241706161137
2.882755976E9	188.4678747940692
2.882939838E9	197.61238062755797
2.8830861915E9	197.42737927801218
2.8833246155E9	195.04732739420936
2.8835330345E9	176.9099099099099
2.8840139925E9	195.57542318405828
2.884682622E9	193.36830466830466
2.8849783395E9	200.52812394745706
2.8851293765E9	183.471875
2.88523294E9	197.16544117647058
2.885380196E9	194.99831791421363
2.8855523165E9	197.54843669912864
2.8856843195E9	187.34308510638297
2.885822535E9	189.43629343629343
2.885958065E9	182.9306358381503
2.886082272E9	172.375
2.886192519E9	191.37193763919822
2.886295634E9	198.95817120622567
2.88640561E9	198.86949152542374
2.8865546035E9	193.71372549019608
2.8867224755E9	186.5456475583864
2.8868061825E9	211.42857142857142
2.886892758E9	202.17862301396244
2.887031009E9	181.3464566929134
2.8871976565E9	200.01495016611295
2.887400046E9	191.7783203125
2.887577206E9	195.98413258110014
2.8877881565E9	181.8341968911917
2.8879687995E9	194.52578796561605
2.8881279725E9	199.72901603269412
2.888311843E9	193.45234806629836
2.8884852595E9	197.63480392156862
2.8886875845E9	178.64820846905536
2.888985801E9	174.52238805970148
2.889229866E9	185.50746268656715
2.8895790755E9	198.6716354943046
2.889951796E9	189.6073619631902
2.8901135465E9	197.53810208483105
2.8902557705E9	184.65437788018434
2.8904186985E9	186.49407114624506
2.8906437185E9	178.49545454545455
2.8908288345E9	191.32292460015233
2.890981424E9	194.4486308420836
2.8911688005E9	195.5094049247606
2.8913080195E9	175.22222222222223
2.8914628095E9	174.33050847457628
2.8916585145E9	199.4179523141655
2.8925472575E9	196.69520260829063
2.893404342E9	180.1328125
2.8935413165E9	180.88372093023256
2.8937144E9	186.41397849462365
2.8938670755E9	196.3490410958904
2.894495074E9	197.48263027295286
2.896831261E9	197.59060438391148
2.8986932995E9	189.37764350453173
2.8988572775E9	192.872
2.8989957195E9	193.06906077348066
2.8994933275E9	196.32767245918905
2.89996607E9	191.0
2.900096484E9	188.41176470588235
2.9002881635E9	196.289139225881
